"name","type","class","S3method","generic","package","Rversion"
"as.list.Date","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.POSIXct","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.data.frame","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.environment","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.function","closure","function",FALSE,FALSE,"base","3.3.2"
"as.list.numeric_version","closure","function",FALSE,FALSE,"base","3.3.2"
"as.logical","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.logical.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"as.matrix","closure","function",FALSE,FALSE,"base","3.3.2"
"as.matrix.POSIXlt","closure","function",FALSE,FALSE,"base","3.3.2"
"as.matrix.data.frame","closure","function",FALSE,FALSE,"base","3.3.2"
"as.matrix.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.matrix.noquote","closure","function",FALSE,FALSE,"base","3.3.2"
"as.name","closure","function",FALSE,FALSE,"base","3.3.2"
"as.null","closure","function",FALSE,FALSE,"base","3.3.2"
"as.null.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.numeric","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.numeric_version","closure","function",FALSE,FALSE,"base","3.3.2"
"as.octmode","closure","function",FALSE,FALSE,"base","3.3.2"
"as.ordered","closure","function",FALSE,FALSE,"base","3.3.2"
"as.package_version","closure","function",FALSE,FALSE,"base","3.3.2"
"as.pairlist","closure","function",FALSE,FALSE,"base","3.3.2"
"as.qr","closure","function",FALSE,FALSE,"base","3.3.2"
"as.raw","builtin","function",FALSE,FALSE,"base","3.3.2"
"as.single","closure","function",FALSE,FALSE,"base","3.3.2"
"as.single.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.symbol","closure","function",FALSE,FALSE,"base","3.3.2"
"as.table","closure","function",FALSE,FALSE,"base","3.3.2"
"as.table.default","closure","function",FALSE,FALSE,"base","3.3.2"
"as.vector","closure","function",FALSE,FALSE,"base","3.3.2"
"as.vector.factor","closure","function",FALSE,FALSE,"base","3.3.2"
"asNamespace","closure","function",FALSE,FALSE,"base","3.3.2"
"asS3","closure","function",FALSE,FALSE,"base","3.3.2"
"asS4","closure","function",FALSE,FALSE,"base","3.3.2"
"asin","builtin","function",FALSE,TRUE,"base","3.3.2"
"asinh","builtin","function",FALSE,TRUE,"base","3.3.2"
"assign","closure","function",FALSE,FALSE,"base","3.3.2"
"atan","builtin","function",FALSE,TRUE,"base","3.3.2"
"atan2","closure","function",FALSE,FALSE,"base","3.3.2"
"atanh","builtin","function",FALSE,TRUE,"base","3.3.2"
"attach","closure","function",FALSE,FALSE,"base","3.3.2"
"attachNamespace","closure","function",FALSE,FALSE,"base","3.3.2"
"attr","builtin","function",FALSE,FALSE,"base","3.3.2"
"attr.all.equal","closure","function",FALSE,FALSE,"base","3.3.2"
"attr<-","builtin","function",FALSE,FALSE,"base","3.3.2"
"attributes","builtin","function",FALSE,FALSE,"base","3.3.2"
"attributes<-","builtin","function",FALSE,FALSE,"base","3.3.2"
"autoload","closure","function",FALSE,FALSE,"base","3.3.2"
"autoloader","closure","function",FALSE,FALSE,"base","3.3.2"
"backsolve","closure","function",FALSE,FALSE,"base","3.3.2"
"baseenv","builtin","function",FALSE,FALSE,"base","3.3.2"
"basename","closure","function",FALSE,FALSE,"base","3.3.2"
"besselI","closure","function",FALSE,FALSE,"base","3.3.2"
"besselJ","closure","function",FALSE,FALSE,"base","3.3.2"
"besselK","closure","function",FALSE,FALSE,"base","3.3.2"
"besselY","closure","function",FALSE,FALSE,"base","3.3.2"
"beta","closure","function",FALSE,FALSE,"base","3.3.2"
"bindingIsActive","closure","function",FALSE,FALSE,"base","3.3.2"
"bindingIsLocked","closure","function",FALSE,FALSE,"base","3.3.2"
"bindtextdomain","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwAnd","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwNot","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwOr","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwShiftL","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwShiftR","closure","function",FALSE,FALSE,"base","3.3.2"
"bitwXor","closure","function",FALSE,FALSE,"base","3.3.2"
"body","closure","function",FALSE,FALSE,"base","3.3.2"
"body<-","closure","function",FALSE,TRUE,"base","3.3.2"
"bquote","closure","function",FALSE,FALSE,"base","3.3.2"
"break","special","function",FALSE,FALSE,"base","3.3.2"
"browser","builtin","function",FALSE,FALSE,"base","3.3.2"
"browserCondition","closure","function",FALSE,FALSE,"base","3.3.2"
"browserSetDebug","closure","function",FALSE,FALSE,"base","3.3.2"
"browserText","closure","function",FALSE,FALSE,"base","3.3.2"
"builtins","closure","function",FALSE,FALSE,"base","3.3.2"
"by","closure","function",FALSE,FALSE,"base","3.3.2"
"by.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"by.default","closure","function",TRUE,FALSE,"base","3.3.2"
"bzfile","closure","function",FALSE,FALSE,"base","3.3.2"
"c","builtin","function",FALSE,FALSE,"base","3.3.2"
"c.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"c.POSIXct","closure","function",TRUE,FALSE,"base","3.3.2"
"c.POSIXlt","closure","function",TRUE,FALSE,"base","3.3.2"
"c.difftime","closure","function",TRUE,FALSE,"base","3.3.2"
"c.noquote","closure","function",TRUE,FALSE,"base","3.3.2"
"c.numeric_version","closure","function",TRUE,FALSE,"base","3.3.2"
"c.warnings","closure","function",TRUE,FALSE,"base","3.3.2"
"call","special","function",FALSE,FALSE,"base","3.3.2"
"callCC","closure","function",FALSE,FALSE,"base","3.3.2"
"capabilities","closure","function",FALSE,FALSE,"base","3.3.2"
"casefold","closure","function",FALSE,FALSE,"base","3.3.2"
"cat","closure","function",FALSE,FALSE,"base","3.3.2"
"cbind","closure","function",FALSE,FALSE,"base","3.3.2"
"cbind.data.frame","closure","function",TRUE,FALSE,"base","3.3.2"
"ceiling","builtin","function",FALSE,TRUE,"base","3.3.2"
"char.expand","closure","function",FALSE,FALSE,"base","3.3.2"
"charToRaw","closure","function",FALSE,FALSE,"base","3.3.2"
"character","closure","function",FALSE,FALSE,"base","3.3.2"
"charmatch","closure","function",FALSE,FALSE,"base","3.3.2"
"chartr","closure","function",FALSE,FALSE,"base","3.3.2"
"check_tzones","closure","function",FALSE,FALSE,"base","3.3.2"
"chkDots","closure","function",FALSE,FALSE,"base","3.3.2"
"chol","closure","function",FALSE,FALSE,"base","3.3.2"
"chol.default","closure","function",TRUE,FALSE,"base","3.3.2"
"chol2inv","closure","function",FALSE,FALSE,"base","3.3.2"
"choose","closure","function",FALSE,FALSE,"base","3.3.2"
"class","builtin","function",FALSE,FALSE,"base","3.3.2"
"class<-","builtin","function",FALSE,FALSE,"base","3.3.2"
"clearPushBack","closure","function",FALSE,FALSE,"base","3.3.2"
"close","closure","function",FALSE,FALSE,"base","3.3.2"
"close.connection","closure","function",TRUE,FALSE,"base","3.3.2"
"close.srcfile","closure","function",TRUE,FALSE,"base","3.3.2"
"close.srcfilealias","closure","function",TRUE,FALSE,"base","3.3.2"
"closeAllConnections","closure","function",FALSE,FALSE,"base","3.3.2"
"col","closure","function",FALSE,FALSE,"base","3.3.2"
"colMeans","closure","function",FALSE,FALSE,"base","3.3.2"
"colSums","closure","function",FALSE,FALSE,"base","3.3.2"
"colnames","closure","function",FALSE,FALSE,"base","3.3.2"
"colnames<-","closure","function",FALSE,FALSE,"base","3.3.2"
"commandArgs","closure","function",FALSE,FALSE,"base","3.3.2"
"comment","closure","function",FALSE,FALSE,"base","3.3.2"
"comment<-","closure","function",FALSE,FALSE,"base","3.3.2"
"complex","closure","function",FALSE,FALSE,"base","3.3.2"
"computeRestarts","closure","function",FALSE,FALSE,"base","3.3.2"
"conditionCall","closure","function",FALSE,FALSE,"base","3.3.2"
"conditionCall.condition","closure","function",TRUE,FALSE,"base","3.3.2"
"conditionMessage","closure","function",FALSE,FALSE,"base","3.3.2"
"conditionMessage.condition","closure","function",TRUE,FALSE,"base","3.3.2"
"conflicts","closure","function",FALSE,FALSE,"base","3.3.2"
"contributors","closure","function",FALSE,FALSE,"base","3.3.2"
"cos","builtin","function",FALSE,TRUE,"base","3.3.2"
"cosh","builtin","function",FALSE,TRUE,"base","3.3.2"
"cospi","builtin","function",FALSE,TRUE,"base","3.3.2"
"crossprod","closure","function",FALSE,FALSE,"base","3.3.2"
"cummax","builtin","function",FALSE,TRUE,"base","3.3.2"
"cummin","builtin","function",FALSE,TRUE,"base","3.3.2"
"cumprod","builtin","function",FALSE,TRUE,"base","3.3.2"
"cumsum","builtin","function",FALSE,TRUE,"base","3.3.2"
"curlGetHeaders","closure","function",FALSE,FALSE,"base","3.3.2"
"cut","closure","function",FALSE,FALSE,"base","3.3.2"
"cut.Date","closure","function",TRUE,FALSE,"base","3.3.2"
"cut.POSIXt","closure","function",TRUE,FALSE,"base","3.3.2"
"cut.default","closure","function",TRUE,FALSE,"base","3.3.2"
"dQuote","closure","function",FALSE,FALSE,"base","3.3.2"
"data.class","closure","function",FALSE,FALSE,"base","3.3.2"
"data.frame","closure","function",FALSE,FALSE,"base","3.3.2"
"data.matrix","closure","function",FALSE,FALSE,"base","3.3.2"
"date","closure","function",FALSE,FALSE,"base","3.3.2"
"debug","closure","function",FALSE,FALSE,"base","3.3.2"
"debuggingState","closure","function",FALSE,FALSE,"base","3.3.2"
"debugonce","closure","function",FALSE,FALSE,"base","3.3.2"
"default.stringsAsFactors","closure","function",FALSE,FALSE,"base","3.3.2"
"delayedAssign","closure","function",FALSE,FALSE,"base","3.3.2"
"deparse","closure","function",FALSE,FALSE,"base","3.3.2"
