name,type,class,S3method,generic,package,Rversion
col,closure,function,FALSE,FALSE,base,3.4.0
colMeans,closure,function,FALSE,FALSE,base,3.4.0
colSums,closure,function,FALSE,FALSE,base,3.4.0
colnames,closure,function,FALSE,FALSE,base,3.4.0
colnames<-,closure,function,FALSE,FALSE,base,3.4.0
commandArgs,closure,function,FALSE,FALSE,base,3.4.0
comment,closure,function,FALSE,FALSE,base,3.4.0
comment<-,closure,function,FALSE,FALSE,base,3.4.0
complex,closure,function,FALSE,FALSE,base,3.4.0
computeRestarts,closure,function,FALSE,FALSE,base,3.4.0
conditionCall,closure,function,FALSE,FALSE,base,3.4.0
conditionCall.condition,closure,function,TRUE,FALSE,base,3.4.0
conditionMessage,closure,function,FALSE,FALSE,base,3.4.0
conditionMessage.condition,closure,function,TRUE,FALSE,base,3.4.0
conflicts,closure,function,FALSE,FALSE,base,3.4.0
contributors,closure,function,FALSE,FALSE,base,3.4.0
cos,builtin,function,FALSE,TRUE,base,3.4.0
cosh,builtin,function,FALSE,TRUE,base,3.4.0
cospi,builtin,function,FALSE,TRUE,base,3.4.0
crossprod,closure,function,FALSE,FALSE,base,3.4.0
cummax,builtin,function,FALSE,TRUE,base,3.4.0
cummin,builtin,function,FALSE,TRUE,base,3.4.0
cumprod,builtin,function,FALSE,TRUE,base,3.4.0
cumsum,builtin,function,FALSE,TRUE,base,3.4.0
curlGetHeaders,closure,function,FALSE,FALSE,base,3.4.0
cut,closure,function,FALSE,FALSE,base,3.4.0
cut.Date,closure,function,TRUE,FALSE,base,3.4.0
cut.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
cut.default,closure,function,TRUE,FALSE,base,3.4.0
dQuote,closure,function,FALSE,FALSE,base,3.4.0
data.class,closure,function,FALSE,FALSE,base,3.4.0
data.frame,closure,function,FALSE,FALSE,base,3.4.0
data.matrix,closure,function,FALSE,FALSE,base,3.4.0
date,closure,function,FALSE,FALSE,base,3.4.0
debug,closure,function,FALSE,FALSE,base,3.4.0
debuggingState,closure,function,FALSE,FALSE,base,3.4.0
debugonce,closure,function,FALSE,FALSE,base,3.4.0
default.stringsAsFactors,closure,function,FALSE,FALSE,base,3.4.0
delayedAssign,closure,function,FALSE,FALSE,base,3.4.0
deparse,closure,function,FALSE,FALSE,base,3.4.0
det,closure,function,FALSE,FALSE,base,3.4.0
detach,closure,function,FALSE,FALSE,base,3.4.0
determinant,closure,function,FALSE,FALSE,base,3.4.0
determinant.matrix,closure,function,TRUE,FALSE,base,3.4.0
dget,closure,function,FALSE,FALSE,base,3.4.0
diag,closure,function,FALSE,FALSE,base,3.4.0
diag<-,closure,function,FALSE,FALSE,base,3.4.0
diff,closure,function,FALSE,FALSE,base,3.4.0
diff.Date,closure,function,TRUE,FALSE,base,3.4.0
diff.POSIXt,closure,function,TRUE,FALSE,base,3.4.0
diff.default,closure,function,TRUE,FALSE,base,3.4.0
diff.difftime,closure,function,TRUE,FALSE,base,3.4.0
difftime,closure,function,FALSE,FALSE,base,3.4.0
digamma,builtin,function,FALSE,TRUE,base,3.4.0
dim,builtin,function,FALSE,FALSE,base,3.4.0
dim.data.frame,closure,function,TRUE,FALSE,base,3.4.0
dim<-,builtin,function,FALSE,FALSE,base,3.4.0
dimnames,builtin,function,FALSE,FALSE,base,3.4.0
dimnames.data.frame,closure,function,TRUE,FALSE,base,3.4.0
dimnames<-,builtin,function,FALSE,FALSE,base,3.4.0
dimnames<-.data.frame,closure,function,TRUE,FALSE,base,3.4.0
dir,closure,function,FALSE,FALSE,base,3.4.0
dir.create,closure,function,FALSE,FALSE,base,3.4.0
dir.exists,closure,function,FALSE,FALSE,base,3.4.0
dirname,closure,function,FALSE,FALSE,base,3.4.0
do.call,closure,function,FALSE,FALSE,base,3.4.0
dontCheck,closure,function,FALSE,FALSE,base,3.4.0
double,closure,function,FALSE,FALSE,base,3.4.0
dput,closure,function,FALSE,FALSE,base,3.4.0
drop,closure,function,FALSE,FALSE,base,3.4.0
droplevels,closure,function,FALSE,FALSE,base,3.4.0
droplevels.data.frame,closure,function,TRUE,FALSE,base,3.4.0
droplevels.factor,closure,function,TRUE,FALSE,base,3.4.0
dump,closure,function,FALSE,FALSE,base,3.4.0
duplicated,closure,function,FALSE,FALSE,base,3.4.0
duplicated.POSIXlt,closure,function,TRUE,FALSE,base,3.4.0
duplicated.array,closure,function,TRUE,FALSE,base,3.4.0
duplicated.data.frame,closure,function,TRUE,FALSE,base,3.4.0
duplicated.default,closure,function,TRUE,FALSE,base,3.4.0
duplicated.matrix,closure,function,TRUE,FALSE,base,3.4.0
duplicated.numeric_version,closure,function,TRUE,FALSE,base,3.4.0
duplicated.warnings,closure,function,TRUE,FALSE,base,3.4.0
dyn.load,closure,function,FALSE,FALSE,base,3.4.0
dyn.unload,closure,function,FALSE,FALSE,base,3.4.0
